Sample	HED_A	HED_B	HED_C	Mean_HE
IRID001	10.259668508287293	1.12707182320442	0.0	3.7955801104972373
IRID002	6.425414364640884	9.011049723756907	6.707182320441989	7.3812154696132595
IRID003	0.9392265193370166	6.232044198895028	6.707182320441989	4.626151012891344
IRID005	5.204419889502763	6.403314917127072	5.226519337016574	5.611418047882137
IRID006	0.0	0.0	0.0	0.0
IRID007	0.0	5.994475138121547	6.18232044198895	4.058931860036832
IRID008	0.0	1.5303867403314917	0.0	0.5101289134438306
IRID009	1.0773480662983426	11.541436464088397	6.3646408839779	6.32780847145488
IRID010	0.0	1.12707182320442	0.0	0.3756906077348066
IRID011	4.18232044198895	3.751381215469613	3.9226519337016574	3.952117863720074
IRID012	0.0	6.895027624309392	4.209944751381215	3.701657458563536
IRID013	4.624309392265193	6.895027624309392	5.87292817679558	5.797421731123388
IRID014	4.060773480662983	7.331491712707182	4.823204419889502	5.405156537753222
IRID015	4.18232044198895	7.2707182320441985	2.044198895027624	4.499079189686924
IRID016	10.657458563535911	1.0276243093922652	0.0	3.8950276243093924
IRID020	10.243093922651934	4.56353591160221	6.425414364640884	7.077348066298342
IRID021	0.0	6.18232044198895	6.707182320441989	4.296500920810313
IRID022	0.0	6.9779005524861875	6.707182320441989	4.561694290976059
IRID023	10.657458563535911	5.475138121546961	6.149171270718232	7.427255985267035
IRID025	0.3370165745856354	6.740331491712707	6.149171270718232	4.4088397790055245
IRID026	0.3370165745856354	6.740331491712707	6.149171270718232	4.4088397790055245
22_SS01	7.519337016574585	6.1602209944751385	7.121546961325967	6.933701657458563
23_SS27	6.469613259668508	10.149171270718233	7.331491712707182	7.983425414364642
24_1339	7.519337016574585	6.1602209944751385	7.121546961325967	6.933701657458563
SS18	0.0	1.701657458563536	6.425414364640884	2.7090239410681396
SS19	4.18232044198895	6.988950276243094	4.2154696132596685	5.12891344383057
SS20	6.425414364640884	NA	6.425414364640884	NA
ATLSkin_3	10.662983425414364	2.7679558011049723	0.6906077348066298	4.707182320441988
ATLSkin_8	8.972375690607734	2.7679558011049723	0.0	3.913443830570902
ATLSkin_9	10.662983425414364	0.0	5.397790055248619	5.353591160220994
ATLSkin_10	10.596685082872929	7.502762430939226	0.0	6.033149171270718
SS17	10.486187845303867	5.889502762430939	6.773480662983426	7.7163904235727445
SS02	10.657458563535911	0.0	0.6906077348066298	3.7826887661141804
SS03	7.519337016574585	4.640883977900552	5.430939226519337	5.863720073664825
SS04	10.657458563535911	6.1602209944751385	4.104972375690608	6.974217311233886
SS06	4.265193370165746	6.624309392265193	6.18232044198895	5.69060773480663
SS08	10.657458563535911	4.900552486187845	6.640883977900552	7.39963167587477
SS11	10.701657458563536	5.524861878453039	6.56353591160221	7.596685082872928
SS14	4.18232044198895	7.2707182320441985	2.044198895027624	4.499079189686924
SS16	1.2596685082872927	6.375690607734807	6.889502762430939	4.841620626151013
ATLSkin_11	0.0	7.110497237569061	6.3259668508287294	4.4788213627992635
ATLSkin_12	13.696132596685082	8.585635359116022	5.917127071823204	9.39963167587477
ATLSkin_13	10.662983425414364	8.165745856353592	4.662983425414365	7.830570902394107
ATLSkin_14	9.458563535911603	7.397790055248619	4.707182320441989	7.187845303867403
ATLSkin_15	10.657458563535911	1.0883977900552486	3.889502762430939	5.211786372007366
ATLSkin_16	4.823204419889502	14.331491712707182	5.535911602209945	8.230202578268875
ATLSkin_17	3.74585635359116	8.121546961325967	7.331491712707182	6.39963167587477
IRID027	7.0	5.298342541436464	6.707182320441989	6.335174953959485
IRID028	6.254143646408839	1.3038674033149171	0.0	2.5193370165745854
IRID029	0.0	11.077348066298342	3.723756906077348	4.933701657458563
IRID030	10.751381215469614	7.767955801104972	0.6906077348066298	6.403314917127072
IRID032	4.18232044198895	7.2707182320441985	2.044198895027624	4.499079189686924
IRID033	0.0	7.502762430939226	6.889502762430939	4.797421731123388
IRID034	10.657458563535911	6.375690607734807	6.9779005524861875	8.003683241252302
IRID036	10.662983425414364	5.574585635359116	6.707182320441989	7.648250460405156
IRID037	7.519337016574585	1.12707182320442	0.0	2.882136279926335
IRID038	0.0	6.679558011049724	4.662983425414365	3.7808471454880297
IRID039	10.657458563535911	6.1602209944751385	4.104972375690608	6.974217311233886
IRID040	2.8784530386740332	6.165745856353591	6.149171270718232	5.064456721915285
IRID041	10.657458563535911	1.3591160220994476	6.889502762430939	6.302025782688766
IRID042	0.0	6.044198895027624	6.121546961325967	4.055248618784531
IRID043	0.0	7.751381215469613	5.87292817679558	4.541436464088398
IRID046	0.9392265193370166	10.348066298342541	5.430939226519337	5.572744014732964
IRID048	10.657458563535911	3.2320441988950277	6.425414364640884	6.7716390423572745
IRID049	8.104972375690608	12.066298342541437	6.425414364640884	8.865561694290976
IRID050	7.7569060773480665	11.077348066298342	3.723756906077348	7.519337016574585
IRID055	0.9392265193370166	8.370165745856353	7.403314917127072	5.570902394106814
IRID057	5.900552486187845	6.30939226519337	6.099447513812155	6.1031307550644565
IRID060	5.204419889502763	7.779005524861878	6.149171270718232	6.377532228360958
IRID062	10.657458563535911	0.0	0.6906077348066298	3.7826887661141804
IRID067	10.657458563535911	3.4917127071823204	6.425414364640884	6.858195211786371
IRID080	0.0	10.171270718232044	3.5193370165745854	4.56353591160221
IRID084	7.519337016574585	7.751381215469613	0.0	5.0902394106813995
IRID086	3.7900552486187844	3.4972375690607733	6.696132596685083	4.661141804788214
IRID089	6.425414364640884	4.530386740331492	6.425414364640884	5.793738489871086
IRID024	10.657458563535911	8.104972375690608	4.607734806629834	7.790055248618785
IRID090	0.12154696132596685	7.502762430939226	6.889502762430939	4.837937384898711
IRID068	0.0	4.530386740331492	0.0	1.5101289134438307
IRID069	6.56353591160221	0.0	0.0	2.187845303867403
IRID071	10.657458563535911	6.044198895027624	6.121546961325967	7.607734806629833
IRID073	4.624309392265193	2.856353591160221	0.0	2.4935543278084715
IRID074	10.657458563535911	7.497237569060774	5.226519337016574	7.793738489871086
IRID076	10.259668508287293	8.060773480662984	5.397790055248619	7.9060773480663
1	8.104972375690608	9.41988950276243	5.917127071823204	7.813996316758747
2	6.773480662983426	8.143646408839778	NA	NA
5	10.662983425414364	5.906077348066298	6.640883977900552	7.736648250460405
3	9.524861878453038	NA	6.773480662983426	NA
6	8.850828729281767	0.0	0.0	2.9502762430939224
7	10.94475138121547	2.7679558011049723	6.640883977900552	6.7845303867403315
4	10.657458563535911	1.0883977900552486	2.9005524861878453	4.882136279926335
8	7.45303867403315	7.0497237569060776	4.651933701657459	6.384898710865563
9	8.104972375690608	7.0497237569060776	7.403314917127072	7.519337016574585
15	10.94475138121547	9.25414364640884	5.375690607734807	8.52486187845304
16	10.342541436464089	9.447513812154696	5.994475138121547	8.594843462246777
17_D12_1088	11.425414364640885	NA	7.12707182320442	NA
10	11.668508287292818	10.226519337016574	4.662983425414365	8.85267034990792
12	10.790055248618785	6.2707182320441985	2.8066298342541436	6.622467771639042
13	10.657458563535911	6.154696132596685	5.81767955801105	7.543278084714548
14	NA	9.922651933701658	5.745856353591161	NA
11	7.602209944751381	11.977900552486188	3.6353591160220993	7.738489871086556
